Index,Movie,Distributor,Genre,7-day Gross,14-day Gross,Total US Gross,International Gross,US DVD Sales,Budget
192,Hollywoodland,Focus Features,Drama,7799599,11434376,14426251,,,
193,Rocky Balboa,MGM,Drama,,,70269899,85450189,34655821,24000000
194,A Mighty Heart,Paramount Vantage,Drama,5418140,7757609,9176787,9755330,5434934,15000000
195,Mr. Bean's Holiday,Universal,Comedy,13000430,,33302167,196397938,28162446,25000000
196,Joshua,Fox Searchlight,Thriller/Suspense,74590,400745,482355,233349,,
197,Flags of Our Fathers,Dreamworks SKG,Drama,13576213,22131112,33602376,28300000,45095837,53000000
198,Little Miss Sunshine,Fox Searchlight,Comedy,,,59891098,40632083,55497574,8000000
199,Garfield's A Tail of Two Kitties,20th Century Fox,Comedy,,,28426747,113275517,18693368,
200,Letters from Iwo Jima,Dreamworks SKG,Drama,,,13756082,55000000,13618088,13000000
201,Daddy's Little Girls,Lionsgate,Romantic Comedy,,,31366978,150081,31456820,
202,Harry Potter and the Order of the Phoenix,Warner Bros.,Adventure,,217083411,292004738,646464126,220651146,150000000
203,Marie-Antoinette,Sony Pictures,Drama,6906276,10733964,15962471,44900000,16617894,40000000
204,The Departed,Warner Bros.,Drama,37950891,63472929,133311000,157228042,140647116,90000000
205,Snakes on a Plane,New Line,Thriller/Suspense,20152024,28601000,34020814,28000000,23693992,33000000
206,Breach,Universal,Thriller/Suspense,14309725,21938345,33000880,1457899,18301944,
207,The Last King of Scotland,Fox Searchlight,Drama,,,17606684,30756832,16831973,6000000
208,300,Warner Bros.,Action,96288328,141843655,210614939,245453242,261158713,60000000
209,The Pursuit of Happyness,Sony Pictures,Drama,38286895,79049229,162586036,143500000,90820939,55000000
210,The Number 23,New Line,Thriller/Suspense,17633643,26321000,35193167,41400000,27501523,32000000
211,Arctic Tale,Paramount Vantage,Documentary,,,833532,194090,,
