Record,Sale_amount,Sale_date,Beds,Baths,Sqft_home,Sqft_lot,Build_year,Town,University
2698,397000,42506,5,3.5,3060,5227,2002,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2699,535000,42489,4,3,4004,108900,2001,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2700,305000,42478,3,2.5,2708,10454,1999,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2701,411000,42499,4,3,3149,11325.6,2001,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2702,334000,42542,4,2.5,2323,10890,2000,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2703,427000,42461,5,3,3163,10454,2000,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2704,540000,42499,1,4,3650,10454,2002,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2705,360000,42459,4,2.5,2466,14810.4,2000,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2706,345000,42468,3,2.5,2438,10018,2000,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2707,250000,42517,3,2.5,1601,2178,2003,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2708,522000,42545,5,3.5,3463,26136,1961,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2709,487500,42503,4,4,3465,15246,2004,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2710,740000,42543,5,4.5,4955,23086.8,2004,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2711,718000,42447,6,6,4918,80586,2004,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2712,1000000,42516,4,5,5949,4356,2004,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2713,700000,42475,5,4,3834,20908.8,2004,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2714,620000,42492,4,3,3533,10019,2005,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2715,295000,42528,3,4,2626,2613,2004,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2716,610000,42473,5,4,4400,12196.8,2004,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2717,1240000,42535,5,5.5,5855,17424,2004,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2718,392000,42541,5,3.5,2581,6098,2004,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2719,132000,42486,2,2,1122,871,1985,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2720,415000,42541,4,5,4036,3484,2005,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2721,302500,42489,4,2,1052,4792,1942,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2722,388000,42489,5,3,3230,20037.6,2005,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2723,339000,42552,4,4,3249,87120,1987,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2724,538000,42453,4,3,3066,222156,1975,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2725,215000,42496,3,2,1500,479160,2000,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2726,199448,42450,3,2,1542,20908.8,1974,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2727,156450,42536,2,2,1400,20037.6,1975,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2728,380000,42464,3,3,2339,13939.2,1996,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2729,340000,42537,3,2,2235,81457.2,1992,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2730,425000,42541,4,3,3017,82328.4,1997,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2731,382000,42453,3,2.5,2470,10454,1999,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2732,832500,42458,4,5,5873,31798.8,2003,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2733,453000,42459,4,2.5,3200,13068,2003,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2734,405000,42494,4,3,3122,13068,2004,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2735,635000,42482,4,4.5,5929,40946.4,2000,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2736,535000,42498,4,4,3471,34848,2002,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2737,664000,42564,4,6,4680,15681.6,2007,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2738,578000,42516,4,5,3738,87120,2004,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2739,760000,42499,4,5.5,4151,12196.8,2006,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2740,667500,42516,5,4,4170,26136,1999,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2741,335000,42536,3,2,1796,10846,2005,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2742,570000,42526,4,4,3809,17424,2005,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2743,490000,42474,4,4,3600,98445.6,2005,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2744,447000,42535,4,4,3218,13503.6,2006,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2745,589000,42534,4,4,3680,91476,2006,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2746,245000,42496,4,2,1848,17424,1968,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2747,419500,42481,3,3,2863,175111.2,1988,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2748,340000,42522,3,3,2522,49222.8,1994,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2749,675000,42542,5,4,3774,8712,2007,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2750,265000,42523,3,2,1858,56192.4,1979,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2751,427000,42522,3,3,2385,20908.8,1986,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2752,409500,42530,3,3,2818,3920,2007,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2753,550000,42492,5,3.5,3891,88426.8,1998,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2754,330000,42482,4,3,2058,609840,1998,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2755,350100,42535,3,2,1700,15246,1957,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2756,150000,42467,3,2,1730,45738,1976,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2757,349000,42447,4,2.5,2323,57499.2,1988,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2758,143500,42485,2,1,1008,251776.8,1986,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2759,760000,42453,5,4.5,4000,174240,1979,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2760,645000,42460,4,3.5,3983,20037.6,2003,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2761,535000,42460,4,5,3639,21780,2007,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2762,695000,42503,4,2.5,3928,116305.2,1998,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2763,332000,42528,3,4,2600,215622,1979,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2764,161500,42461,3,2,1819,23522.4,1972,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2765,642500,42465,4,3.5,3822,53578.8,1997,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2766,400000,42488,4,1,724,566280,1995,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2767,244000,42453,3,4,2300,58806,1999,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2768,740000,42552,4,4,4294,20473.2,1990,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2769,310000,42481,3,2.5,2100,21344.4,1993,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2770,1051000,42530,5,4.5,4484,14810.4,2009,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2771,275000,42521,2,3,1512,3920,2009,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2772,261500,42488,3,2,2198,126759.6,2006,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2773,885000,42508,7,4,3570,17424,1939,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2774,477500,42489,3,2,2399,8363,2011,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2775,332500,42545,5,2.5,2849,5662,2011,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2776,230000,42502,2,3,1371,2178,2010,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2777,659000,42494,5,4.5,4300,108900,2013,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2778,372800,42551,3,3,2403,6970,2011,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2779,468000,42478,4,3,3121,5227,2011,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2780,457100,42524,4,2,2476,87120,2010,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2781,420000,42517,5,4,3132,9147,2012,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2782,327100,42460,3,2.5,2063,5227,2012,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2783,400000,42551,4,3,2684,6969,2011,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2784,515000,42500,4,4,3053,4792,2013,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2785,765000,42531,3,4,3286,217800,1992,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2786,430000,42522,4,3.5,3700,78408,2016,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2787,339000,42552,4,3.5,3249,87120,1987,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2788,650000,42474,4,5,3800,21780,2015,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2789,442000,42478,4,4,2980,8712,2015,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2790,200000,42478,3,2,1400,30056.4,1981,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2791,570000,42545,4,5,4049,21344.4,2004,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2792,950000,42566,4,5,7336,87120,2000,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2793,395000,42460,3,3,2689,12632.4,1983,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2794,677000,42531,4,3.5,4426,43995.6,1960,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2795,832500,42452,4,5,5873,64904.4,2003,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2796,345000,42485,2,1,1093,43560,1910,"Chapel Hill, NC",University of North Carolina at Chapel Hill
3903,233000,42524,3,2,1349,10018,1966,"Eugene, OR",University of Oregon
3904,203515,42544,3,1,1521,6450,1964,"Eugene, OR",University of Oregon
3905,200000,42541,3,1,933,6975,1964,"Eugene, OR",University of Oregon
3906,176000,42521,3,1,1278,6375,1964,"Eugene, OR",University of Oregon
3907,309000,42528,4,3,2111,6500,1967,"Eugene, OR",University of Oregon
3908,63000,42516,5,3,2419,9583,1969,"Eugene, OR",University of Oregon
3909,240000,42515,2,1,812,9148,1930,"Eugene, OR",University of Oregon
3910,225000,42549,3,1.5,1246,12196.8,1977,"Eugene, OR",University of Oregon
3911,221600,42544,3,1,1008,7998,1957,"Eugene, OR",University of Oregon
3912,440000,42541,3,2,2265,14810.4,1955,"Eugene, OR",University of Oregon
3914,370000,42537,3,2,2370,12632.4,1950,"Eugene, OR",University of Oregon
3915,250000,42531,3,2,1465,11761.2,1962,"Eugene, OR",University of Oregon
3916,325000,42528,5,2,2854,9147,1964,"Eugene, OR",University of Oregon
3917,221000,42513,3,1,1078,6098,1957,"Eugene, OR",University of Oregon
3918,238980,42530,3,2.1,1748,11761.2,1955,"Eugene, OR",University of Oregon
3919,313400,42543,5,3,2330,10018,1952,"Eugene, OR",University of Oregon
3920,333000,42521,4,3,2140,14374.8,1964,"Eugene, OR",University of Oregon
3921,240000,42517,3,2,1368,9492,1974,"Eugene, OR",University of Oregon
3922,245000,42536,3,1.5,1275,10125,1968,"Eugene, OR",University of Oregon
3923,262500,42536,3,2,1182,17424,1977,"Eugene, OR",University of Oregon
3924,200000,42521,3,2,1884,13939.2,1951,"Eugene, OR",University of Oregon
3925,420000,42538,5,4,3100,12632.4,1895,"Eugene, OR",University of Oregon
3926,300000,42517,4,3,1676,13503.6,1955,"Eugene, OR",University of Oregon
3927,685000,42538,4,2.1,2803,10890,1961,"Eugene, OR",University of Oregon
3928,132500,42544,3,1,1092,5460,1928,"Eugene, OR",University of Oregon
3929,170000,42536,2,2,1484,9583,1890,"Eugene, OR",University of Oregon
3930,418000,42534,2,1,1753,10000,1910,"Eugene, OR",University of Oregon
3931,386000,42531,4,1,1402,7800,1941,"Eugene, OR",University of Oregon
3932,206000,42538,5,2,1808,8550,1930,"Eugene, OR",University of Oregon
3933,312000,42563,3,2,1280,6534,1976,"Eugene, OR",University of Oregon
3934,379900,42551,4,2,2137,8250,1977,"Eugene, OR",University of Oregon
3935,211915,42557,4,2,1422,7840,1972,"Eugene, OR",University of Oregon
3936,151000,42550,4,2,1248,6300,1975,"Eugene, OR",University of Oregon
3937,244000,42554,3,1,1414,8276,1967,"Eugene, OR",University of Oregon
3938,257500,42535,3,2,1357,15246,1972,"Eugene, OR",University of Oregon
3939,176900,42536,2,1,816,8000,1971,"Eugene, OR",University of Oregon
3940,296900,42541,3,2,2190,10018,1965,"Eugene, OR",University of Oregon
3941,265000,42537,5,2,1690,8085,1964,"Eugene, OR",University of Oregon
3942,249500,42509,3,3,1824,8250,1974,"Eugene, OR",University of Oregon
3943,250000,42528,3,2,1603,10400,1960,"Eugene, OR",University of Oregon
3944,185600,42556,3,1.5,1100,11325.6,1958,"Eugene, OR",University of Oregon
3945,186000,42543,4,2,1440,12632.4,1944,"Eugene, OR",University of Oregon
3946,215000,42551,3,2,1200,7405,1961,"Eugene, OR",University of Oregon
3947,247000,42548,4,3,2359,8900,1965,"Eugene, OR",University of Oregon
3948,257000,42548,3,2,1488,8712,1965,"Eugene, OR",University of Oregon
3949,105000,42551,4,1,1224,6970,1950,"Eugene, OR",University of Oregon
3950,278000,42529,4,2,1908,10454,1962,"Eugene, OR",University of Oregon
3951,271000,42521,3,2.5,1761,8000,1964,"Eugene, OR",University of Oregon
3952,218150,42521,3,1,1084,13068,1970,"Eugene, OR",University of Oregon
3953,265000,42536,4,2,2208,7980,1969,"Eugene, OR",University of Oregon
3954,255000,42529,4,2,1931,8712,1969,"Eugene, OR",University of Oregon
3956,217000,42515,3,2,1056,7500,1965,"Eugene, OR",University of Oregon
3957,230000,42531,3,2,1192,8000,1962,"Eugene, OR",University of Oregon
3958,187700,42537,4,3,2240,10000,1968,"Eugene, OR",University of Oregon
3959,250000,42509,3,2,1632,7600,1964,"Eugene, OR",University of Oregon
3960,273000,42552,3,3,2640,10890,1963,"Eugene, OR",University of Oregon
3961,55000,42542,3,2,1945,10890,1961,"Eugene, OR",University of Oregon
3962,221000,42510,4,2,1600,8000,1965,"Eugene, OR",University of Oregon
3963,160000,42516,3,1,924,9075,1964,"Eugene, OR",University of Oregon
3964,227500,42551,3,1,1126,6969,1961,"Eugene, OR",University of Oregon
3965,200000,42545,3,1,1104,6969,1961,"Eugene, OR",University of Oregon
3966,175000,42524,3,1,1524,7350,1958,"Eugene, OR",University of Oregon
3967,196100,42524,3,2,1474,8276.4,1958,"Eugene, OR",University of Oregon
3968,124500,42510,2,1,933,9147,1947,"Eugene, OR",University of Oregon
3969,213000,42513,3,1.1,1496,8712,1963,"Eugene, OR",University of Oregon
3970,190000,42510,3,2,1300,9000,1962,"Eugene, OR",University of Oregon
3971,282500,42557,3,2,1556,17859.6,1985,"Eugene, OR",University of Oregon
3972,108000,42531,1,1,704,9375,1948,"Eugene, OR",University of Oregon
3973,202000,42541,3,1,1009,7405,1973,"Eugene, OR",University of Oregon
3974,195000,42552,3,2,1672,8100,1975,"Eugene, OR",University of Oregon
3975,139000,42550,3,2,1195,8100,1976,"Eugene, OR",University of Oregon
3976,180000,42527,3,2,1372,213879.6,1962,"Eugene, OR",University of Oregon
3977,223000,42531,4,2,1662,9583,1966,"Eugene, OR",University of Oregon
3978,209900,42531,3,1.5,1080,8424,1967,"Eugene, OR",University of Oregon
3979,158500,42536,3,1,1080,9545,1969,"Eugene, OR",University of Oregon
3980,190000,42538,3,2,1403,11325.6,1959,"Eugene, OR",University of Oregon
3981,185000,42545,3,1,1036,7405,1956,"Eugene, OR",University of Oregon
3982,172500,42517,3,1,1556,11325.6,1977,"Eugene, OR",University of Oregon
3983,172500,42524,3,1,1664,10425,1952,"Eugene, OR",University of Oregon
3984,136000,42517,3,1.5,1676,19602,1961,"Eugene, OR",University of Oregon
3985,200000,42517,3,2,1412,9600,1948,"Eugene, OR",University of Oregon
3986,174000,42527,3,1,1180,5600,1954,"Eugene, OR",University of Oregon
3987,306500,42541,4,1,2034,9504,1923,"Eugene, OR",University of Oregon
3988,170000,42542,2,1,884,14374.8,1963,"Eugene, OR",University of Oregon
3989,225000,42556,3,2,1600,3840,1930,"Eugene, OR",University of Oregon
3990,263000,42551,3,2,1748,8712,1940,"Eugene, OR",University of Oregon
3991,235000,42551,2,1,1074,9583,1950,"Eugene, OR",University of Oregon
3992,161000,42549,3,1,1190,10018,1952,"Eugene, OR",University of Oregon
3993,174900,42521,2,1,1008,10454,1980,"Eugene, OR",University of Oregon
3994,551400,42535,4,3.5,4311,217800,2002,"Eugene, OR",University of Oregon
3995,168000,42534,1,1,1089,7841,1942,"Eugene, OR",University of Oregon
3996,197000,42542,3,1,1098,6480,1972,"Eugene, OR",University of Oregon
3997,150000,42543,2,2,1268,7560,1959,"Eugene, OR",University of Oregon
3998,299700,42514,3,1,1124,3920,1922,"Eugene, OR",University of Oregon
3999,251000,42522,3,1,1106,4104,1922,"Eugene, OR",University of Oregon
4000,320000,42529,4,2,2058,4791,1946,"Eugene, OR",University of Oregon
4001,285000,42514,4,2,1555,5985,1912,"Eugene, OR",University of Oregon
4002,332000,42536,3,2,1378,7405,1936,"Eugene, OR",University of Oregon
4003,230000,42537,3,1,1216,7300,1922,"Eugene, OR",University of Oregon
4004,257900,42538,3,1,1300,10890,1940,"Eugene, OR",University of Oregon
4005,286450,42521,2,1,1779,3484,1935,"Eugene, OR",University of Oregon
4006,475000,42542,4,3,2108,205603.2,1967,"Eugene, OR",University of Oregon
4007,148000,42537,3,2,1548,210830.4,1978,"Eugene, OR",University of Oregon
4008,399000,42550,3,3.1,2482,87991.2,1984,"Eugene, OR",University of Oregon
4009,258000,42538,3,3,1400,87120,1950,"Eugene, OR",University of Oregon
4010,865000,42531,6,3,3640,15246,1947,"Eugene, OR",University of Oregon
4011,244000,42538,4,2,2676,7840,1954,"Eugene, OR",University of Oregon
4012,316000,42510,3,2,1802,8712,1977,"Eugene, OR",University of Oregon
4013,155000,42516,2,2,1237,15681.6,1974,"Eugene, OR",University of Oregon
4014,350000,42536,4,2,1672,8480,1935,"Eugene, OR",University of Oregon
4015,425000,42510,3,1,1756,8712,1948,"Eugene, OR",University of Oregon
4016,499500,42529,3,2,2144,13939.2,1948,"Eugene, OR",University of Oregon
4017,432900,42521,3,2,2116,7840,1948,"Eugene, OR",University of Oregon
4018,413000,42514,3,2.5,1600,8800,1945,"Eugene, OR",University of Oregon
4019,234500,42551,2,1,960,7560,1952,"Eugene, OR",University of Oregon
4020,221000,42527,3,1,1130,8160,1952,"Eugene, OR",University of Oregon
4021,165000,42513,2,1,954,4791,1949,"Eugene, OR",University of Oregon
4022,200000,42531,2,1.5,992,3485,1936,"Eugene, OR",University of Oregon
4023,366000,42538,3,2,2491,9000,1966,"Eugene, OR",University of Oregon
4024,330000,42552,5,2,2000,7405,1962,"Eugene, OR",University of Oregon
4025,239000,42559,2,1,900,5000,1938,"Eugene, OR",University of Oregon
4026,635000,42531,3,3,4099,7840,1938,"Eugene, OR",University of Oregon
4027,459000,42542,4,2,2694,9240,1958,"Eugene, OR",University of Oregon
4028,300000,42545,4,1,2018,5590,1948,"Eugene, OR",University of Oregon
4029,320000,42551,4,1.5,1624,9147,1922,"Eugene, OR",University of Oregon
4030,332500,42521,4,2,1944,5100,1947,"Eugene, OR",University of Oregon
4031,417500,42522,3,1,1110,5564,1928,"Eugene, OR",University of Oregon
4032,375000,42517,4,2,1893,10275,1960,"Eugene, OR",University of Oregon
4033,535000,42514,5,3,3496,7405,1966,"Eugene, OR",University of Oregon
4034,196000,42536,2,1,820,5170,1947,"Eugene, OR",University of Oregon
4035,226775,42549,3,1,1236,8276,1950,"Eugene, OR",University of Oregon
4036,373000,42535,4,2,1254,8625,1959,"Eugene, OR",University of Oregon
4037,235000,42556,3,1,1107,8712,1955,"Eugene, OR",University of Oregon
4038,336000,42544,3,2,1480,7935,1965,"Eugene, OR",University of Oregon
4039,250000,42521,3,2,1791,7405,1959,"Eugene, OR",University of Oregon
4040,175000,42545,2,1.5,1012,7000,1960,"Eugene, OR",University of Oregon
4041,234000,42550,3,1,1008,6969,1958,"Eugene, OR",University of Oregon
4042,236900,42548,3,2,1248,6969,1958,"Eugene, OR",University of Oregon
4043,242500,42551,4,3,1637,7405,1960,"Eugene, OR",University of Oregon
4044,330000,42531,4,3,2499,7840,1980,"Eugene, OR",University of Oregon
4045,215000,42541,3,1,1394,9240,1941,"Eugene, OR",University of Oregon
4046,235000,42551,3,1,900,11761.2,1960,"Eugene, OR",University of Oregon
4047,214000,42556,3,1,1032,9147,1957,"Eugene, OR",University of Oregon
4048,235000,42524,3,1,1056,6098,1959,"Eugene, OR",University of Oregon
4049,310000,42516,3,2,1523,10200,1958,"Eugene, OR",University of Oregon
4050,341000,42541,4,3,1196,7210,1962,"Eugene, OR",University of Oregon
4052,280000,42528,2,2,1175,7405,1960,"Eugene, OR",University of Oregon
4053,375100,42536,4,2,2444,19166.4,1963,"Eugene, OR",University of Oregon
4054,1886000,42527,6,3.5,5560,313632,1984,"Eugene, OR",University of Oregon
4055,458000,42516,4,3,3202,16117.2,1969,"Eugene, OR",University of Oregon
4056,275000,42552,4,2,1813,10454,1965,"Eugene, OR",University of Oregon
4057,260000,42545,5,3,2280,6969,1965,"Eugene, OR",University of Oregon
4058,347500,42510,3,2,1766,6534,1967,"Eugene, OR",University of Oregon
4059,346250,42522,4,3,2108,9583,1968,"Eugene, OR",University of Oregon
4060,300000,42516,4,2,2011,10454,1973,"Eugene, OR",University of Oregon
4061,316000,42559,4,2,1750,9048,1961,"Eugene, OR",University of Oregon
4062,420000,42534,5,3,2602,10890,1969,"Eugene, OR",University of Oregon
4063,406000,42548,4,3,2494,11325.6,1969,"Eugene, OR",University of Oregon
4064,338000,42521,4,3,2304,7840,1972,"Eugene, OR",University of Oregon
4065,278000,42538,3,1.1,2024,8712,1973,"Eugene, OR",University of Oregon
4066,315900,42538,4,3,2234,13503.6,1966,"Eugene, OR",University of Oregon
4067,285000,42514,3,2,1758,9900,1963,"Eugene, OR",University of Oregon
4068,275000,42538,3,1.5,1930,7015,1962,"Eugene, OR",University of Oregon
4069,240000,42521,3,1.1,1252,8712,1959,"Eugene, OR",University of Oregon
4070,125000,42513,2,1,910,8990,1951,"Eugene, OR",University of Oregon
4071,245000,42551,2,1,1016,14810.4,1973,"Eugene, OR",University of Oregon
4072,185000,42528,3,2,1249,8712,1958,"Eugene, OR",University of Oregon
4073,320000,42527,3,2,2165,12196.8,1961,"Eugene, OR",University of Oregon
4074,210000,42516,4,2,1236,6825,1970,"Eugene, OR",University of Oregon
4075,425000,42521,4,3,3218,12196.8,1970,"Eugene, OR",University of Oregon
4076,249000,42528,3,3,1987,13939.2,1972,"Eugene, OR",University of Oregon
4077,286500,42515,3,3,3004,10890,1963,"Eugene, OR",University of Oregon
4078,236000,42550,3,1,1040,8712,1957,"Eugene, OR",University of Oregon
4079,230000,42521,3,2,1434,8680,1958,"Eugene, OR",University of Oregon
4080,260500,42529,4,2.5,1976,8120,1967,"Eugene, OR",University of Oregon
4081,279000,42550,3,1.5,1608,9147,1969,"Eugene, OR",University of Oregon
4082,279900,42549,3,2.1,1802,8276,1977,"Eugene, OR",University of Oregon
4083,255000,42531,3,2,1447,8400,1964,"Eugene, OR",University of Oregon
4084,299000,42548,2,2,1561,12196.8,1956,"Eugene, OR",University of Oregon
4085,347000,42549,5,3,3000,24829.2,1946,"Eugene, OR",University of Oregon
4086,210000,42535,3,2,1394,10500,1970,"Eugene, OR",University of Oregon
4087,225000,42534,3,2,1394,9450,1970,"Eugene, OR",University of Oregon
4088,355000,42531,3,2.1,2252,8712,1999,"Eugene, OR",University of Oregon
4089,285100,42527,3,3,2105,10018,1976,"Eugene, OR",University of Oregon
4090,320000,42551,4,4,2598,16988.4,1971,"Eugene, OR",University of Oregon
4091,569000,42530,4,2,2406,20473.2,1974,"Eugene, OR",University of Oregon
4092,255854,42551,3,2,1632,10890,1975,"Eugene, OR",University of Oregon
4093,140000,42536,2,1,880,38332.8,1950,"Eugene, OR",University of Oregon
4094,214500,42535,3,2,1212,7840,1974,"Eugene, OR",University of Oregon
4095,207900,42510,3,2,1400,7200,1972,"Eugene, OR",University of Oregon
4096,185000,42523,2,1,916,7405,1968,"Eugene, OR",University of Oregon
4097,375000,42516,3,3,1770,17424,1948,"Eugene, OR",University of Oregon
4099,275000,42523,2,2,1600,10018,1975,"Eugene, OR",University of Oregon
4100,362500,42534,3,2,1762,237402,1966,"Eugene, OR",University of Oregon
4101,424900,42517,4,3,3126,12196.8,1971,"Eugene, OR",University of Oregon
4102,180000,42521,3,1,1228,7500,1971,"Eugene, OR",University of Oregon
4103,231000,42538,4,2,1352,9000,1972,"Eugene, OR",University of Oregon
4104,325000,42529,5,2.5,2419,10890,1972,"Eugene, OR",University of Oregon
4105,190000,42551,3,1,1056,7405,1970,"Eugene, OR",University of Oregon
4106,155000,42534,3,1.5,1056,8500,1972,"Eugene, OR",University of Oregon
4107,327000,42565,3,2,1598,6970,1973,"Eugene, OR",University of Oregon
4108,265000,42531,4,2,1613,4791,1973,"Eugene, OR",University of Oregon
4109,230000,42536,3,2,1514,10890,1973,"Eugene, OR",University of Oregon
4110,132500,42510,4,2,1215,7695,1974,"Eugene, OR",University of Oregon
4111,285000,42517,3,2,1632,10890,1975,"Eugene, OR",University of Oregon
4112,269000,42542,3,2.5,1568,6000,1974,"Eugene, OR",University of Oregon
4113,215000,42523,3,2,1764,9148,1975,"Eugene, OR",University of Oregon
4114,267500,42509,3,2,1964,8276,1976,"Eugene, OR",University of Oregon
4115,184900,42541,3,2,1100,8880,1974,"Eugene, OR",University of Oregon
4116,259000,42543,3,2,1638,10890,1977,"Eugene, OR",University of Oregon
4117,178500,42524,3,2.1,2024,6534,1975,"Eugene, OR",University of Oregon
4118,249000,42538,3,2.5,1528,6534,1975,"Eugene, OR",University of Oregon
4119,237000,42541,3,3,1880,7841,1976,"Eugene, OR",University of Oregon
4120,282000,42528,3,2,1826,9450,1974,"Eugene, OR",University of Oregon
4121,185000,42534,3,2,1066,8300,1976,"Eugene, OR",University of Oregon
4122,350000,42514,3,2,2054,9292,1978,"Eugene, OR",University of Oregon
4123,361200,42514,3,2,2207,16988.4,1977,"Eugene, OR",University of Oregon
4124,340000,42516,3,3,1833,12632.4,1977,"Eugene, OR",University of Oregon
4125,245500,42549,3,2,1472,7840,1977,"Eugene, OR",University of Oregon
4126,750000,42549,4,3.5,3111,42688.8,1978,"Eugene, OR",University of Oregon
4127,205000,42549,3,2,1326,6534,1977,"Eugene, OR",University of Oregon
4128,270000,42544,4,2,1912,6534,1978,"Eugene, OR",University of Oregon
4129,164900,42522,2,2,1596,3920,1979,"Eugene, OR",University of Oregon
4130,333000,42516,4,3,2488,6534,1977,"Eugene, OR",University of Oregon
4131,237000,42550,3,2,1328,8712,1977,"Eugene, OR",University of Oregon
4132,617000,42528,4,3,3231,14374.8,1977,"Eugene, OR",University of Oregon
4133,214000,42524,3,2,1212,6000,1978,"Eugene, OR",University of Oregon
4134,276500,42536,3,2,1582,4792,1976,"Eugene, OR",University of Oregon
4135,198500,42551,3,1.5,1050,6710,1977,"Eugene, OR",University of Oregon
4136,204900,42558,2,2,1306,10300,1978,"Eugene, OR",University of Oregon
