Record,Sale_amount,Sale_date,Beds,Baths,Sqft_home,Sqft_lot,Build_year,Town,University
2483,270000,42460,3,2,1908,42253.2,1953,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2484,735000,42527,4,3.5,3202,8712,1999,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2485,741000,42472,4,3.5,3481,20473.2,2000,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2486,776000,42550,5,3.5,4078,11761.2,2000,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2487,578000,42552,4,4,3099,6534,1999,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2488,393500,42489,3,2.5,2513,3049,1999,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2489,368000,42503,4,2.5,2400,13068,1993,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2490,745000,42496,4,4,3200,19602,1998,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2491,406000,42523,3,3,1881,4356,1999,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2492,582000,42475,4,4,3063,6534,1997,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2493,540000,42507,5,4,3131,6534,1999,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2494,415000,42500,1,3,2373,13068,1993,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2495,479000,42536,4,3,2948,13068,1997,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2496,215000,42516,2,2,792,1742,1996,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2497,310000,42493,3,1.5,1443,3000,1995,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2498,557000,42528,5,4,3784,22215.6,1995,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2499,339900,42459,3,2,2080,20037.6,1987,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2500,530000,42521,5,4,3677,18730.8,1994,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2501,455100,42496,5,3,2950,18295.2,1993,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2502,440000,42502,5,2.5,2820,16988.4,1995,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2503,435000,42537,5,3,2935,26571.6,2003,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2504,559000,42509,5,3.5,3553,17859.6,1999,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2505,217000,42534,3,3.5,1712,43560,1987,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2506,575000,42460,4,5,3513,17859.6,2000,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2507,363250,42522,4,3,2252,19602,1989,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2508,360000,42488,4,3,2369,17424,1992,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2509,346000,42473,3,3,2021,9583,1990,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2510,406500,42453,4,2.5,2405,10890,1993,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2511,328000,42482,4,2.5,2075,11761.2,1998,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2512,488000,42488,5,3,3484,15246,1991,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2513,175500,42447,3,3,1406,1307,1974,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2514,145000,42482,2,1.5,1246,1742,1974,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2515,404000,42508,4,3.5,2850,17424,1998,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2516,273500,42487,3,2,2223,140263.2,1962,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2517,534000,42531,3,3,2802,6969,1996,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2518,535000,42559,4,3,2632,5663,1996,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2519,587000,42517,4,4,3565,5662,1996,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2520,555000,42507,3,4,3133,6098,1996,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2521,420000,42499,3,3,1998,4792,1995,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2522,500000,42524,3,3,2424,5662,1997,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2523,172000,42471,3,2,1372,10018,1990,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2524,269000,42460,3,3,1712,7841,1992,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2525,650000,42517,5,4,4115,135036,1994,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2526,319900,42486,3,2,1867,33976.8,1969,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2527,240000,42538,3,4,1611,7405,1985,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2528,359900,42545,3,2,2178,36590.4,1987,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2529,324000,42527,3,2,2129,40510.8,1964,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2530,535100,42522,3,2,2400,54014.4,1971,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2531,301000,42516,3,2,1502,43995.6,1973,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2532,222000,42507,3,3,2610,26571.6,1962,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2533,810000,42566,4,5,3894,49658.4,1998,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2534,591000,42458,4,3.5,3685,55321.2,1986,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2535,585000,42513,3,3,3165,32670,1981,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2536,395000,42535,3,3,1850,33105.6,1974,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2537,357500,42557,3,2.5,2511,43560,1974,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2538,337000,42516,3,3,1762,47916,2001,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2539,365000,42494,4,3,2355,20908.8,1997,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2540,317000,42468,4,2,2241,13503.6,1984,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2541,290000,42459,3,2,1338,8276,1948,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2542,200000,42513,3,2,1189,7405,1997,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2543,112000,42543,2,1,729,8276,1910,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2544,183000,42464,3,3,2046,1307,1978,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2545,105000,42503,3,1,835,3049,1932,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2546,112500,42475,5,3,2570,19602,1930,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2547,112500,42475,2,1,950,5227,1931,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2548,112500,42475,2,1,950,5663,1931,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2549,875000,42514,5,5,3400,29185.2,1930,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2550,250000,42542,3,1,1050,5838,1952,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2551,200000,42475,3,2,1012,7405,1947,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2552,385000,42522,2,1,727,8712,1927,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2553,470000,42486,3,2,2162,13068,1849,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2554,254000,42474,8,4,6710,14374.8,1927,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2555,530000,42510,4,4,3277,11761.2,1922,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2556,900000,42508,14,8,6017,27442.8,1900,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2557,1175000,42538,4,3,3200,43124.4,1936,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2558,487000,42530,5,3,2825,63162,1957,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2559,1300000,42550,4,4,4772,41817.6,1917,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2560,730000,42506,4,2.5,3060,41817.6,1987,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2561,386250,42485,9,10,7397,56628,1920,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2562,1250000,42531,6,4,4729,27442.8,1932,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2563,440000,42524,4,4,2586,54014.4,1962,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2564,350000,42507,3,2,1804,11325.6,1964,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2565,166100,42537,1,2.5,1600,12632.4,1980,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2566,291000,42550,4,2,2026,12196.8,1954,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2567,299000,42524,4,3,1944,22651.2,1962,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2568,245000,42517,3,1.5,1428,21344.4,1960,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2569,228000,42493,3,1,1240,14810.4,1964,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2570,240000,42535,3,2,1117,11325.6,1947,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2571,252500,42537,3,1.5,1704,20037.6,1956,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2572,595000,42450,5,3,3490,65340,1950,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2573,510000,42564,3,3,3124,13503.6,1993,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2574,557500,42506,4,3,4214,33976.8,1984,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2575,445000,42551,4,3,2067,19166.4,1984,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2576,435000,42492,4,2.5,2657,14374.8,1986,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2577,650000,42542,4,4,3814,10018,2000,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2578,650000,42475,4,4.5,4109,13939.2,1989,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2579,487500,42502,4,3,3379,57499.2,1963,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2580,332500,42550,4,3,2381,24393.6,1966,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2581,770000,42549,4,4,3965,38768.4,1984,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2582,925000,42534,4,5,3928,28314,1990,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2583,555000,42501,4,3,3556,18730.8,1957,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2584,380000,42485,4,2,2241,21780,1964,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2585,760000,42450,6,3.5,3902,27442.8,1991,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2586,670000,42453,5,3.5,4184,47916,1966,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2587,455000,42485,3,2,2460,33976.8,1974,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2588,430000,42482,5,3,3067,38332.8,1964,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2589,695000,42523,4,3.5,3474,65775.6,1962,"Chapel Hill, NC",University of North Carolina at Chapel Hill
