Record,Sale_amount,Sale_date,Beds,Baths,Sqft_home,Sqft_lot,Type,Build_year,Town,University
1,295000,42521,5,3,2020,38332.8,Single Family,1976,"Ames, IA",Iowa State University
2,240000,42541,4,2,1498,54014.4,Single Family,2002,"Ames, IA",Iowa State University
3,385000,42521,5,4,4000,85813.2,Single Family,2001,"Ames, IA",Iowa State University
4,268000,42472,3,2.5,2283,118918.8,Single Family,1972,"Ames, IA",Iowa State University
5,186000,42465,3,1.25,1527,15681.6,Single Family,1975,"Ames, IA",Iowa State University
6,302500,42431,4,3,3117,33105.6,Single Family,1976,"Ames, IA",Iowa State University
7,223000,42523,3,2,1218,25264.8,Single Family,1975,"Ames, IA",Iowa State University
8,225000,42497,3,3,3000,30056.4,Single Family,1969,"Ames, IA",Iowa State University
9,215000,42474,5,2,2963,14374.8,Single Family,1965,"Ames, IA",Iowa State University
10,285100,42412,3,4,1680,48351.6,Single Family,1987,"Ames, IA",Iowa State University
11,269000,42522,3,2,1682,43560,Single Family,1932,"Ames, IA",Iowa State University
12,650000,42523,4,3.5,2535,82764,Single Family,1998,"Ames, IA",Iowa State University
13,203500,42478,4,2,1277,10628,Single Family,1970,"Ames, IA",Iowa State University
14,265000,42549,4,2.5,1340,10290,Single Family,1998,"Ames, IA",Iowa State University
15,180000,42424,3,3.5,1709,13068,Single Family,1991,"Ames, IA",Iowa State University
16,192000,42429,3,3,1470,8139,Single Family,1995,"Ames, IA",Iowa State University
17,246500,42452,4,3.5,1776,8712,Single Family,1996,"Ames, IA",Iowa State University
18,258000,42535,4,2.5,1752,9174,Single Family,1996,"Ames, IA",Iowa State University
19,240500,42446,3,2.25,1502,6821,Single Family,1985,"Ames, IA",Iowa State University
20,218000,42552,2,3.25,1864,28749.6,Single Family,1978,"Ames, IA",Iowa State University
21,249000,42510,3,2.25,1381,13939.2,Single Family,1983,"Ames, IA",Iowa State University
22,246000,42545,3,2.75,1969,11761.2,Single Family,1977,"Ames, IA",Iowa State University
23,264000,42489,3,2,1660,13068,Single Family,1979,"Ames, IA",Iowa State University
24,180000,42566,3,3,1277,10140,Single Family,1975,"Ames, IA",Iowa State University
25,196000,42464,4,3,1768,10000,Single Family,1973,"Ames, IA",Iowa State University
26,262000,42536,3,1.75,1650,14374.8,Single Family,1900,"Ames, IA",Iowa State University
27,138000,42500,3,1,845,8712,Single Family,1970,"Ames, IA",Iowa State University
28,143500,42500,2,1,858,7340,Single Family,1971,"Ames, IA",Iowa State University
29,122000,42500,2,2,987,1680,Single Family,1972,"Ames, IA",Iowa State University
30,145000,42410,2,2,836,2280,Single Family,1977,"Ames, IA",Iowa State University
31,250000,42487,3,1.75,1462,10361,Single Family,2005,"Ames, IA",Iowa State University
32,361000,42493,5,5,1800,14374.8,Single Family,2007,"Ames, IA",Iowa State University
33,305000,42457,4,2.5,2363,13068,Single Family,2004,"Ames, IA",Iowa State University
34,232500,42457,3,4,1560,11761.2,Single Family,2005,"Ames, IA",Iowa State University
35,233500,42502,4,4,2531,10797,Single Family,1999,"Ames, IA",Iowa State University
36,256000,42492,3,2.5,2035,9420,Single Family,1999,"Ames, IA",Iowa State University
37,189000,42395,3,3,1320,7750,Single Family,2003,"Ames, IA",Iowa State University
38,350000,42401,4,3.5,2166,13068,Single Family,2000,"Ames, IA",Iowa State University
39,410000,42423,5,3.5,2759,10890,Single Family,1994,"Ames, IA",Iowa State University
40,332000,42559,5,3.5,2197,10010,Single Family,1993,"Ames, IA",Iowa State University
41,265000,42538,3,4,1728,8791,Single Family,2003,"Ames, IA",Iowa State University
42,275100,42513,4,3,1455,20037.6,Single Family,2003,"Ames, IA",Iowa State University
43,192500,42521,2,2.25,1472,8012,Single Family,1992,"Ames, IA",Iowa State University
44,185000,42425,4,2.25,995,9343,Single Family,1984,"Ames, IA",Iowa State University
45,140000,42424,3,2,926,7800,Single Family,1984,"Ames, IA",Iowa State University
46,210000,42425,3,2.5,1603,8712,Single Family,1992,"Ames, IA",Iowa State University
47,135500,42410,5,2,912,8020,Single Family,1964,"Ames, IA",Iowa State University
48,318000,42495,4,3,2094,11325.6,Single Family,1990,"Ames, IA",Iowa State University
49,343000,42446,5,3.5,2755,10500,Single Family,1994,"Ames, IA",Iowa State University
50,345000,42426,3,3,1557,4356,Single Family,1999,"Ames, IA",Iowa State University
51,315000,42527,3,2,1480,12632.4,Single Family,1997,"Ames, IA",Iowa State University
52,278000,42528,3,4,1970,13068,Single Family,1979,"Ames, IA",Iowa State University
53,265000,42493,3,3,1351,13503.6,Single Family,1996,"Ames, IA",Iowa State University
54,168000,42471,3,2,1298,8712,Single Family,1969,"Ames, IA",Iowa State University
55,237500,42446,4,2.5,2380,9979,Single Family,1967,"Ames, IA",Iowa State University
56,260000,42500,3,3.25,1754,7501,Single Family,2001,"Ames, IA",Iowa State University
57,237000,42426,3,1.75,1594,9548,Single Family,1993,"Ames, IA",Iowa State University
58,205000,42542,2,2.5,1334,9650,Single Family,1977,"Ames, IA",Iowa State University
59,252000,42461,4,2,2385,10819,Single Family,1965,"Ames, IA",Iowa State University
60,187900,42559,3,3,1232,9600,Single Family,1966,"Ames, IA",Iowa State University
61,178000,42409,3,3,1310,17859.6,Single Family,1970,"Ames, IA",Iowa State University
62,169500,42465,3,2,1050,10659,Single Family,1961,"Ames, IA",Iowa State University
63,180000,42507,2,2,1048,7395,Single Family,1956,"Ames, IA",Iowa State University
64,189000,42395,3,2.5,1810,9900,Single Family,1964,"Ames, IA",Iowa State University
65,181000,42485,3,2,1138,10382,Single Family,1959,"Ames, IA",Iowa State University
66,225500,42496,3,3,2038,8800,Single Family,1964,"Ames, IA",Iowa State University
67,177000,42426,3,2,1374,11325.6,Single Family,1964,"Ames, IA",Iowa State University
68,92500,42545,2,1,670,3484,Single Family,1945,"Ames, IA",Iowa State University
69,125000,42482,3,1.5,1252,7438,Single Family,1908,"Ames, IA",Iowa State University
70,215000,42485,5,2,2800,9600,Single Family,1953,"Ames, IA",Iowa State University
71,184000,42506,3,2,1650,10060,Single Family,1955,"Ames, IA",Iowa State University
72,105000,42398,3,1.5,1073,8700,Single Family,1956,"Ames, IA",Iowa State University
73,159500,42537,3,1,1144,8400,Single Family,1961,"Ames, IA",Iowa State University
74,178000,42426,3,2,1232,8925,Single Family,1961,"Ames, IA",Iowa State University
75,168000,42388,4,1.75,1898,8400,Single Family,1962,"Ames, IA",Iowa State University
76,260000,42438,4,3.5,2218,13068,Single Family,1962,"Ames, IA",Iowa State University
77,220000,42425,4,3,1596,13068,Single Family,1960,"Ames, IA",Iowa State University
78,210000,42517,4,2,1721,9735,Single Family,1957,"Ames, IA",Iowa State University
79,177100,42437,3,1,1154,12632.4,Single Family,1957,"Ames, IA",Iowa State University
80,138000,42545,2,1,768,11761.2,Single Family,1941,"Ames, IA",Iowa State University
81,151000,42405,3,1.5,1372,7940,Single Family,1900,"Ames, IA",Iowa State University
82,117300,42412,2,2,829,8260,Single Family,1928,"Ames, IA",Iowa State University
83,155000,42516,2,1.75,1184,10800,Single Family,1910,"Ames, IA",Iowa State University
84,245000,42485,3,2.5,1521,14374.8,Single Family,1967,"Ames, IA",Iowa State University
85,157500,42458,2,1,1142,9000,Single Family,1958,"Ames, IA",Iowa State University
86,155500,42444,3,2,1378,8712,Single Family,1949,"Ames, IA",Iowa State University
87,204500,42523,3,2,1691,10800,Single Family,1949,"Ames, IA",Iowa State University
88,178500,42500,3,2.5,1360,1400,Single Family,1954,"Ames, IA",Iowa State University
89,165000,42439,2,2.5,1500,8712,Single Family,1959,"Ames, IA",Iowa State University
90,138000,42390,3,1.5,1135,7200,Single Family,1955,"Ames, IA",Iowa State University
91,140000,42502,3,2,864,6600,Single Family,1962,"Ames, IA",Iowa State University
92,286000,42431,3,2,1400,326700,Single Family,1976,"Ames, IA",Iowa State University
93,365000,42492,4,3,1403,39204,Single Family,1987,"Ames, IA",Iowa State University
94,260000,42514,3,2,1792,144183.6,Single Family,1880,"Ames, IA",Iowa State University
95,131750,42473,2,1,1001,6060,Single Family,1930,"Ames, IA",Iowa State University
96,350000,42496,3,3.5,1646,3842,Single Family,2008,"Ames, IA",Iowa State University
97,140000,42524,3,1,1181,6900,Single Family,1940,"Ames, IA",Iowa State University
98,255000,42559,5,3,1403,14810.4,Single Family,1996,"Ames, IA",Iowa State University
99,265500,42485,4,3,1596,17424,Single Family,1997,"Ames, IA",Iowa State University
100,250000,42439,5,2.25,1596,10890,Single Family,1999,"Ames, IA",Iowa State University
101,240000,42457,3,2,3057,10722,Single Family,1999,"Ames, IA",Iowa State University
102,265100,42395,3,3,2078,86684.4,Single Family,1974,"Ames, IA",Iowa State University
103,225000,42488,2,1,1501,3903,Single Family,1987,"Ames, IA",Iowa State University
104,230000,42457,3,3,1442,9801,Single Family,2006,"Ames, IA",Iowa State University
105,231000,42552,4,2,1339,8049,Single Family,1990,"Ames, IA",Iowa State University
106,230000,42499,3,2.5,1796,43560,Single Family,1915,"Ames, IA",Iowa State University
107,148000,42453,3,1,1389,3378,Single Family,1946,"Ames, IA",Iowa State University
108,125000,42396,2,2,1131,5720,Single Family,1941,"Ames, IA",Iowa State University
109,217500,42395,4,2,2379,9271,Single Family,1929,"Ames, IA",Iowa State University
110,55500,42500,3,1,1360,4791,Single Family,1910,"Ames, IA",Iowa State University
111,205000,42508,5,2,2548,9600,Single Family,1916,"Ames, IA",Iowa State University
112,126000,42495,4,1,1344,4571,Single Family,1916,"Ames, IA",Iowa State University
113,172500,42461,3,2,1032,11325.6,Single Family,1967,"Ames, IA",Iowa State University
114,134000,42478,3,3,1154,7958,Single Family,1976,"Ames, IA",Iowa State University
115,129900,42468,3,2,1870,2961,Multi Family,1973,"Ames, IA",Iowa State University
116,106000,42559,3,1.75,630,1477,Single Family,1970,"Ames, IA",Iowa State University
117,142000,42426,3,1,923,6951,Single Family,1984,"Ames, IA",Iowa State University
118,160000,42513,4,2,1690,8850,Single Family,1916,"Ames, IA",Iowa State University
119,221000,42522,4,3,1274,10382,Single Family,1992,"Ames, IA",Iowa State University
120,320000,42474,4,2.5,3608,23086.8,Single Family,1892,"Ames, IA",Iowa State University
121,195000,42530,5,2,1001,10140,Single Family,1971,"Ames, IA",Iowa State University
122,84500,42436,3,1,1206,11325.6,Single Family,1950,"Ames, IA",Iowa State University
123,162500,42464,2,1.5,1515,4356,Single Family,1953,"Ames, IA",Iowa State University
124,134000,42458,3,2,1028,6242,Single Family,1924,"Ames, IA",Iowa State University
125,150000,42458,3,2,904,6000,Single Family,1926,"Ames, IA",Iowa State University
126,140000,42517,3,2,1010,3720,Single Family,1939,"Ames, IA",Iowa State University
127,115500,42522,2,1,816,6120,Single Family,1928,"Ames, IA",Iowa State University
128,171000,42521,4,1.5,1324,43560,Single Family,1930,"Ames, IA",Iowa State University
129,125500,42411,2,1,776,6840,Single Family,1935,"Ames, IA",Iowa State University
130,135000,42419,3,2,1316,43560,Single Family,1890,"Ames, IA",Iowa State University
131,189000,42527,4,2,1789,10320,Single Family,1940,"Ames, IA",Iowa State University
132,162000,42447,2,1,1037,10319,Single Family,1934,"Ames, IA",Iowa State University
133,472000,42471,5,4,3535,89733.6,Single Family,1979,"Ames, IA",Iowa State University
134,184000,42543,3,3,1330,11325.6,Single Family,1967,"Ames, IA",Iowa State University
135,195000,42502,4,3,1052,11761.2,Single Family,1967,"Ames, IA",Iowa State University
136,197500,42499,4,2,1383,13068,Single Family,1954,"Ames, IA",Iowa State University
137,168000,42521,4,1.75,912,8169,Single Family,1966,"Ames, IA",Iowa State University
138,212000,42536,3,2.25,1818,13939.2,Single Family,1975,"Ames, IA",Iowa State University
139,160000,42464,4,2,1562,10820,Single Family,1971,"Ames, IA",Iowa State University
140,125000,42502,2,2,1934,3400,Single Family,1981,"Ames, IA",Iowa State University
141,316000,42482,4,3.5,1720,20473.2,Single Family,1987,"Ames, IA",Iowa State University
142,180000,42466,3,2,1718,11761.2,Single Family,1910,"Ames, IA",Iowa State University
143,177500,42515,3,2,1366,11325.6,Single Family,1943,"Ames, IA",Iowa State University
144,246500,42549,3,2.75,2697,8751,Single Family,1993,"Ames, IA",Iowa State University
145,377500,42545,4,3.5,3712,16988.4,Single Family,1988,"Ames, IA",Iowa State University
146,292000,42527,4,3.5,2176,10234,Single Family,2001,"Ames, IA",Iowa State University
147,245000,42534,3,4,1961,10106,Single Family,1993,"Ames, IA",Iowa State University
148,172000,42440,4,2,990,8712,Single Family,1994,"Ames, IA",Iowa State University
149,223000,42500,3,2,1759,8905,Single Family,1997,"Ames, IA",Iowa State University
150,198700,42485,3,2,1200,10890,Single Family,1995,"Ames, IA",Iowa State University
151,290000,42551,3,3,2100,413820,Single Family,1997,"Ames, IA",Iowa State University
152,248000,42465,4,3,2476,13068,Single Family,2001,"Ames, IA",Iowa State University
153,188500,42534,3,3,1218,13939.2,Single Family,1978,"Ames, IA",Iowa State University
154,167000,42559,3,1.5,1040,8800,Single Family,1977,"Ames, IA",Iowa State University
155,133500,42473,2,1,780,7200,Single Family,1972,"Ames, IA",Iowa State University
156,270000,42501,4,4,1829,9548,Single Family,2003,"Ames, IA",Iowa State University
157,244500,42506,3,2.5,1948,8712,Single Family,1995,"Ames, IA",Iowa State University
158,244000,42451,4,3,1417,8750,Single Family,1997,"Ames, IA",Iowa State University
159,237000,42528,4,3,1424,11325.6,Single Family,2004,"Ames, IA",Iowa State University
160,162600,42516,2,1.5,1000,11325.6,Single Family,1959,"Ames, IA",Iowa State University
161,184500,42471,4,2.25,2258,3363,Single Family,2004,"Ames, IA",Iowa State University
162,175000,42531,3,2.5,2091,22215.6,Single Family,1978,"Ames, IA",Iowa State University
163,119900,42551,2,1,959,1037,Single Family,1973,"Ames, IA",Iowa State University
164,165000,42524,3,1.5,1498,10000,Single Family,1940,"Ames, IA",Iowa State University
165,181750,42559,4,1.5,1587,10300,Single Family,1931,"Ames, IA",Iowa State University
166,290000,42460,3,2,2080,10890,Single Family,1926,"Ames, IA",Iowa State University
167,290000,42538,4,3,2486,21780,Single Family,1930,"Ames, IA",Iowa State University
168,290000,42523,3,2,1827,13068,Single Family,1939,"Ames, IA",Iowa State University
169,265000,42499,3,2,1567,14374.8,Single Family,1940,"Ames, IA",Iowa State University
170,337500,42556,3,3,2468,10454,Single Family,1940,"Ames, IA",Iowa State University
171,284500,42523,3,3,1828,12196.8,Single Family,1940,"Ames, IA",Iowa State University
172,320000,42431,5,3.5,2463,17424,Single Family,1971,"Ames, IA",Iowa State University
173,220000,42517,2,2,1147,3907,Single Family,1988,"Ames, IA",Iowa State University
174,925000,42517,3,3.5,3535,130680,Single Family,2006,"Ames, IA",Iowa State University
175,565000,42388,5,3,2082,33105.6,Single Family,2009,"Ames, IA",Iowa State University
176,235500,42429,3,3,1557,43560,Single Family,1956,"Ames, IA",Iowa State University
177,268000,42447,4,3,1675,7915,Single Family,1999,"Ames, IA",Iowa State University
178,133500,42444,3,2,1288,3600,Single Family,1917,"Ames, IA",Iowa State University
179,293100,42432,5,4,1935,8004,Single Family,2009,"Ames, IA",Iowa State University
180,457000,42523,4,4,2013,10159,Single Family,2009,"Ames, IA",Iowa State University
181,95000,42566,2,1,784,9000,Single Family,1928,"Ames, IA",Iowa State University
182,145000,42528,3,1,1306,5350,Single Family,1940,"Ames, IA",Iowa State University
183,224500,42536,3,1.5,2019,11325.6,Single Family,1910,"Ames, IA",Iowa State University
184,140000,42418,5,2,1610,18730.8,Single Family,1938,"Ames, IA",Iowa State University
185,372000,42445,2,3,1686,10890,Single Family,2009,"Ames, IA",Iowa State University
186,245000,42471,4,3,1226,10402,Single Family,2009,"Ames, IA",Iowa State University
187,105112,42559,1,1,662,1015,Single Family,2006,"Ames, IA",Iowa State University
188,362000,42549,3,2,1803,107157.6,Single Family,1997,"Ames, IA",Iowa State University
189,359000,42481,4,3,1691,10171,Single Family,2011,"Ames, IA",Iowa State University
190,820000,42401,6,5,6974,36154.8,Single Family,1991,"Ames, IA",Iowa State University
191,195000,42528,6,2,1716,8713,Multi Family,1967,"Ames, IA",Iowa State University
192,142000,42468,2,1.75,825,36154.8,Single Family,1959,"Ames, IA",Iowa State University
193,140000,42479,3,1,1248,4800,Single Family,1934,"Ames, IA",Iowa State University
194,52000,42478,1,1,800,6120,Single Family,1936,"Ames, IA",Iowa State University
195,143000,42454,3,2,980,4356,Single Family,1971,"Ames, IA",Iowa State University
196,51000,42517,2,1,827,3600,Single Family,1920,"Ames, IA",Iowa State University
197,140000,42431,4,2.5,1992,12632.4,Single Family,1900,"Ames, IA",Iowa State University
198,156000,42440,3,1,1036,8712,Single Family,1973,"Ames, IA",Iowa State University
199,220000,42468,3,2,1268,8712,Single Family,2009,"Ames, IA",Iowa State University
200,154650,42496,3,2.25,1229,1488,Single Family,1980,"Ames, IA",Iowa State University
201,588000,42500,4,3,3396,43560,Single Family,2016,"Ames, IA",Iowa State University
202,128500,42536,2,1,1343,6487,Single Family,1948,"Ames, IA",Iowa State University
203,352754,42488,3,2,1599,15246,Single Family,2016,"Ames, IA",Iowa State University
204,261000,42515,3,2,2065,8203,Single Family,2015,"Ames, IA",Iowa State University
205,338000,42423,4,2.75,1600,9748,Single Family,2015,"Ames, IA",Iowa State University
206,344000,42437,5,3.25,2226,15681.6,Single Family,2015,"Ames, IA",Iowa State University
207,325000,42495,3,3,1604,8712,Single Family,2015,"Ames, IA",Iowa State University
208,368000,42387,5,4,1589,13068,Single Family,2015,"Ames, IA",Iowa State University
209,275000,42493,4,3,1421,8712,Single Family,2015,"Ames, IA",Iowa State University
210,224900,42536,3,2,952,4207,Single Family,2015,"Ames, IA",Iowa State University
211,525000,42403,4,3.5,2161,13068,Single Family,2013,"Ames, IA",Iowa State University
212,235400,42480,2,1,1456,100188,Single Family,1950,"Amherst, MA",University of Massachusetts Amherst
213,279000,42464,3,2,1612,16988.4,Single Family,1962,"Amherst, MA",University of Massachusetts Amherst
214,265000,42557,3,2,1646,18730.8,Single Family,1955,"Amherst, MA",University of Massachusetts Amherst
215,331000,42521,4,2,2100,27007.2,Single Family,1972,"Amherst, MA",University of Massachusetts Amherst
216,393000,42391,5,2.5,2508,28749.6,Single Family,1975,"Amherst, MA",University of Massachusetts Amherst
217,290305,42468,4,2.5,1934,27007.2,Single Family,1972,"Amherst, MA",University of Massachusetts Amherst
218,318000,42559,4,2,1788,20037.6,Single Family,1970,"Amherst, MA",University of Massachusetts Amherst
219,390000,42528,3,3,1910,32670,Single Family,1963,"Amherst, MA",University of Massachusetts Amherst
220,460000,42403,4,2.5,2700,35283.6,Single Family,1979,"Amherst, MA",University of Massachusetts Amherst
221,409900,42514,3,2,2093,29185.2,Single Family,1984,"Amherst, MA",University of Massachusetts Amherst
222,462500,42508,4,2.5,2918,26136,Single Family,1996,"Amherst, MA",University of Massachusetts Amherst
223,525000,42485,4,2.5,2000,23958,Single Family,1949,"Amherst, MA",University of Massachusetts Amherst
224,213000,42486,3,1,1094,6098,Single Family,1850,"Amherst, MA",University of Massachusetts Amherst
225,354000,42564,3,1.5,936,30927.6,Single Family,1949,"Amherst, MA",University of Massachusetts Amherst
226,269900,42452,3,2,1602,20908.8,Single Family,1923,"Amherst, MA",University of Massachusetts Amherst
227,608000,42522,4,2.5,2108,55321.2,Single Family,1905,"Amherst, MA",University of Massachusetts Amherst
228,265000,42566,3,1,1334,38768.4,Single Family,1900,"Amherst, MA",University of Massachusetts Amherst
229,409000,42453,4,2.5,2270,23086.8,Single Family,1968,"Amherst, MA",University of Massachusetts Amherst
230,265000,42524,3,2.5,1646,12632.4,Single Family,1880,"Amherst, MA",University of Massachusetts Amherst
231,374500,42486,3,2,1200,19602,Single Family,1952,"Amherst, MA",University of Massachusetts Amherst
232,399000,42492,4,1.5,2484,10500,Single Family,1900,"Amherst, MA",University of Massachusetts Amherst
233,299900,42452,3,2,1283,16117.2,Single Family,1946,"Amherst, MA",University of Massachusetts Amherst
234,249000,42454,2,1,909,23522.4,Single Family,1947,"Amherst, MA",University of Massachusetts Amherst
235,220000,42473,4,1,1312,5227,Single Family,1880,"Amherst, MA",University of Massachusetts Amherst
236,300000,42426,5,1.5,1924,15681.6,Single Family,1915,"Amherst, MA",University of Massachusetts Amherst
237,181000,42422,3,1,1079,6000,Single Family,1900,"Amherst, MA",University of Massachusetts Amherst
238,747000,42492,6,2.5,3504,47480.4,Single Family,1891,"Amherst, MA",University of Massachusetts Amherst
239,348000,42430,3,2,2192,27007.2,Single Family,1850,"Amherst, MA",University of Massachusetts Amherst
240,236900,42545,2,1,1143,12632.4,Single Family,1953,"Amherst, MA",University of Massachusetts Amherst
241,229000,42510,3,1.5,1056,25700.4,Single Family,1980,"Amherst, MA",University of Massachusetts Amherst
242,260000,42450,4,2,1568,23958,Single Family,1963,"Amherst, MA",University of Massachusetts Amherst
243,434100,42548,3,2.5,2114,33541.2,Single Family,1986,"Amherst, MA",University of Massachusetts Amherst
244,335000,42447,4,3.5,2040,20037.6,Single Family,1970,"Amherst, MA",University of Massachusetts Amherst
245,320500,42402,3,2.5,2025,27442.8,Single Family,1982,"Amherst, MA",University of Massachusetts Amherst
246,330000,42522,4,3,1906,10890,Single Family,1993,"Amherst, MA",University of Massachusetts Amherst
247,313000,42510,4,3,1260,11761.2,Single Family,1969,"Amherst, MA",University of Massachusetts Amherst
248,234000,42482,3,1,1215,12196.8,Single Family,1968,"Amherst, MA",University of Massachusetts Amherst
249,394900,42566,4,2.5,1683,45302.4,Single Family,1987,"Amherst, MA",University of Massachusetts Amherst
250,345000,42489,4,2,2159,20908.8,Single Family,1987,"Amherst, MA",University of Massachusetts Amherst
251,285000,42494,4,1.5,1814,45738,Single Family,1967,"Amherst, MA",University of Massachusetts Amherst
252,289000,42509,4,2,1382,20473.2,Single Family,1966,"Amherst, MA",University of Massachusetts Amherst
253,269900,42550,3,1.5,1636,21780,Single Family,1966,"Amherst, MA",University of Massachusetts Amherst
254,291000,42507,2,1,1348,27442.8,Single Family,1956,"Amherst, MA",University of Massachusetts Amherst
255,380000,42558,4,3.5,2443,22651.2,Single Family,1986,"Amherst, MA",University of Massachusetts Amherst
256,292000,42535,3,2,1828,100623.6,Single Family,1980,"Amherst, MA",University of Massachusetts Amherst
257,545000,42517,4,3.5,3367,24829.2,Single Family,1989,"Amherst, MA",University of Massachusetts Amherst
258,375000,42460,4,2.5,2464,27878.4,Single Family,1989,"Amherst, MA",University of Massachusetts Amherst
259,415000,42545,3,2.5,2264,42253.2,Single Family,1986,"Amherst, MA",University of Massachusetts Amherst
260,415900,42531,4,3,1830,15681.6,Single Family,1962,"Amherst, MA",University of Massachusetts Amherst
261,442000,42552,3,3,1602,56628,Single Family,2004,"Amherst, MA",University of Massachusetts Amherst
262,610000,42545,5,3,3618,41817.6,Single Family,1979,"Amherst, MA",University of Massachusetts Amherst
263,257000,42507,4,2,1221,26136,Single Family,1860,"Amherst, MA",University of Massachusetts Amherst
264,415000,42510,4,2.5,3300,72309.6,Single Family,1951,"Amherst, MA",University of Massachusetts Amherst
265,374000,42468,4,2,2068,30492,Single Family,1968,"Amherst, MA",University of Massachusetts Amherst
266,305000,42458,4,2.5,1848,42688.8,Single Family,1972,"Amherst, MA",University of Massachusetts Amherst
267,291500,42507,3,2,1690,31363.2,Single Family,1972,"Amherst, MA",University of Massachusetts Amherst
268,287000,42551,3,1.5,1612,43560,Single Family,1973,"Amherst, MA",University of Massachusetts Amherst
269,112000,42486,2,2,1040,84070.8,Single Family,2002,"Amherst, MA",University of Massachusetts Amherst
270,639900,42562,5,4,3422,37026,Single Family,2005,"Amherst, MA",University of Massachusetts Amherst
271,665000,42468,4,3,3360,36590.4,Single Family,2005,"Amherst, MA",University of Massachusetts Amherst
272,762500,42467,5,4,3801,40946.4,Single Family,2006,"Amherst, MA",University of Massachusetts Amherst
273,627600,42398,4,3,3152,18730.8,Single Family,2015,"Amherst, MA",University of Massachusetts Amherst
274,385000,42531,3,2,2592,258746.4,Single Family,1875,"Ann Arbor, MI",University of Michigan
275,250000,42479,3,2,1863,15246,Single Family,1967,"Ann Arbor, MI",University of Michigan
276,362000,42487,5,4,2464,16552.8,Single Family,1996,"Ann Arbor, MI",University of Michigan
277,460000,42510,3,3.5,3132,27007.2,Single Family,1987,"Ann Arbor, MI",University of Michigan
278,281000,42524,4,2,1531,9583,Single Family,1965,"Ann Arbor, MI",University of Michigan
279,296500,42494,4,2,1395,9583,Single Family,1966,"Ann Arbor, MI",University of Michigan
280,311500,42510,3,2,1600,21344.4,Single Family,1968,"Ann Arbor, MI",University of Michigan
281,165000,42517,2,1,744,23958,Single Family,1953,"Ann Arbor, MI",University of Michigan
282,300000,42499,3,1.5,1320,12632.4,Single Family,1955,"Ann Arbor, MI",University of Michigan
283,151900,42495,4,1,1148,12196.8,Single Family,1945,"Ann Arbor, MI",University of Michigan
284,198100,42489,3,1.5,988,8276,Single Family,1964,"Ann Arbor, MI",University of Michigan
285,345000,42510,3,2,1558,8276,Single Family,1964,"Ann Arbor, MI",University of Michigan
286,286500,42551,3,1.5,1428,7405,Single Family,1965,"Ann Arbor, MI",University of Michigan
287,292600,42488,4,2,1842,6447,Single Family,1962,"Ann Arbor, MI",University of Michigan
288,180000,42440,3,1.5,1050,7405,Single Family,1960,"Ann Arbor, MI",University of Michigan
289,260000,42509,3,3,2208,7928,Single Family,1981,"Ann Arbor, MI",University of Michigan
290,220000,42535,3,3,1200,11761.2,Single Family,1990,"Ann Arbor, MI",University of Michigan
291,216000,42440,3,1,1025,10018,Single Family,1959,"Ann Arbor, MI",University of Michigan
292,364900,42513,3,2,1600,9583,Single Family,1926,"Ann Arbor, MI",University of Michigan
293,188000,42521,3,1,1006,7840,Single Family,1956,"Ann Arbor, MI",University of Michigan
294,240000,42503,3,1,1144,6969,Single Family,1950,"Ann Arbor, MI",University of Michigan
295,324000,42517,3,2.5,1902,7405,Single Family,1989,"Ann Arbor, MI",University of Michigan
296,127100,42472,3,1,1101,10018,Single Family,1994,"Ann Arbor, MI",University of Michigan
297,595000,42499,4,3,2575,21344.4,Single Family,1999,"Ann Arbor, MI",University of Michigan
298,387500,42537,4,3.5,2277,11325.6,Single Family,1999,"Ann Arbor, MI",University of Michigan
299,460000,42466,4,2.5,2932,113256,Single Family,2000,"Ann Arbor, MI",University of Michigan
300,950000,42461,5,4.5,3988,42253.2,Single Family,1950,"Ann Arbor, MI",University of Michigan
301,525000,42467,4,3,3724,64468.8,Single Family,2003,"Ann Arbor, MI",University of Michigan
302,450000,42513,4,3,3193,125888.4,Single Family,1997,"Ann Arbor, MI",University of Michigan
303,400000,42538,3,3.5,1999,7280,Single Family,1995,"Ann Arbor, MI",University of Michigan
304,433000,42489,4,3,2418,8712,Single Family,1968,"Ann Arbor, MI",University of Michigan
305,325000,42468,4,3,1944,8276,Single Family,1965,"Ann Arbor, MI",University of Michigan
306,438600,42507,4,4,2397,13068,Single Family,1966,"Ann Arbor, MI",University of Michigan
307,430000,42482,4,4,2655,7405,Single Family,1988,"Ann Arbor, MI",University of Michigan
308,330000,42537,4,3,1944,8276,Single Family,1971,"Ann Arbor, MI",University of Michigan
309,385100,42440,4,2.5,2390,9583,Single Family,1983,"Ann Arbor, MI",University of Michigan
310,202000,42489,3,4,1500,2178,Single Family,1973,"Ann Arbor, MI",University of Michigan
311,243000,42487,4,2,1684,10454,Single Family,1977,"Ann Arbor, MI",University of Michigan
312,260000,42440,3,1.5,1308,9147,Single Family,1966,"Ann Arbor, MI",University of Michigan
313,399000,42446,4,2.5,2297,6969,Single Family,1963,"Ann Arbor, MI",University of Michigan
314,292000,42509,3,2,1646,8276,Single Family,1964,"Ann Arbor, MI",University of Michigan
315,280000,42501,3,2,1304,7840,Single Family,1965,"Ann Arbor, MI",University of Michigan
